Entity_Name,Entity_Type,Entity_Subtype,Entity_Status,Incorporation_Date,License_Status,License_Expiry_Date,Corporate_Service_Provider,Confirmation_Statement_last_filed_on,Accounting_Reference_Date,Category__c,Invoice_Count__c,Amount_of_Authorised_Share_Capital__c,Registration_Number__c,Document_Name__c,License_Public_Link__c,Total_Number_of_Issued_Share__c,Total_Number_of_issued_Share_FT__c,Business_Activity,Trade_Names,Addresses,Shareholder,Director,Secretary
1702AI DATA CENTER LTD,Private Company Limited By Shares,Innovation,Deregistered,2020-11-29,License cancelled,2022-06-16,,,2021-12-31,Non-Financial (Category B),14,1.0,000004793,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kIGq/sL4nU.GVYIZXU1umhyqwZyBMJKtSkxwk.CFo4TNQ7co,,0,"Type:Non-Financial (Category B), Code:6210 Section:J Information and communication, Activities:Innovation - tech start up","Trade Name:1702AI, Trade Name Became Effective on:2020-11-29",None || None,"Name : None, Appointment Date : 2020-11-29","Name : Joachim Vivian  Levy, Appointment Date : 2020-11-29 | Name : Keren Levy -  Bildi, Appointment Date : 2020-11-29",
1618 HOLDINGS LIMITED,Private Company Limited By Shares,Special Purpose Vehicle,Deregistered,2020-12-27,License cancelled,2023-05-13,,2021-12-27,2022-12-31,Non-Financial (Category B),4,1000.0,000005024,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kJKq/kwoK0sm9Isy1TIQupJ1TueyVaKzPptwKiVcqpxTOugI,,0,"Type:Non-Financial (Category B), Code:7017 Section:M Professional, scientific and technical activities, Activities:Special purpose vehicle",,None | None || None || None,"Name : Robert Anthony  Jones, Appointment Date : 2020-12-27","Name : Robert Anthony  Jones, Appointment Date : 2020-12-27",
100VP LTD,Private Company Limited By Shares,Innovation,Registered,2025-02-25,Licensed,2026-02-24,,,2026-01-31,Non-Financial (Category B),4,100000.0,25425,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kQ84/ymLi0gHI7N87gP6mpFQHIMMLNyfH1pglRUfPcmZOnPY,100.0,100,"Type:Non-Financial (Category B), Code:6210 Section:J Information and communication, Activities:Innovation - tech start up","Trade Name:100VP, Trade Name Became Effective on:2025-02-25","Office 2712, D07, Level 27, Addax Port Office Tower, Tamouh, Al Reem Island, Abu Dhabi, United Arab Emirates || Office 2712, D07, Level 27, Addax Port Office Tower, Tamouh, Al Reem Island, Abu Dhabi, United Arab Emirates","Name : Sofia  Kostiunina, Appointment Date : 2025-02-25 | Name : Thomas Franco  Rosso, Appointment Date : 2025-02-25","Name : Sofia  Kostiunina, Appointment Date : 2025-02-25",
10TENLABS HOLDINGS LIMITED,Private Company Limited By Shares,Special Purpose Vehicle,Registered,2024-12-27,Licensed,2025-12-26,CLARA FORMATIONS LIMITED,,2025-12-31,Non-Financial (Category B),2,500.0,24388,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kMGi/G6wYda1kZe0zbK5ZcZwS8whveiw6Zjn4dycWSl_lWHU,4950.0,4950,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:holding ownership of equity and non-equity assets  (not permitted to register branches in any jurisdiction - permitted to incorporate wholly owned or partially owned subsidiaries outside of ADGM, subject to NOC issued by ADGM Registration Authority)",,"DD-15-134-004 - 007, Level 15, Wework Hub71, Al Khatem Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || DD-15-134-004 - 007, Level 15, Wework Hub71, Al Khatem Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : Khaled Abdulrazaq Jaafar  Zainalabedin, Appointment Date : 2024-12-27 | Name : Hamed Ebrahim Mohamed Ahmed  Nasaji, Appointment Date : 2024-12-27","Name : Khaled Abdulrazaq Jaafar  Zainalabedin, Appointment Date : 2024-12-27",
10K HOLDINGS LIMITED,Private Company Limited By Shares,Special Purpose Vehicle,Deregistered,2023-01-23,License cancelled,2024-01-22,,,2023-12-31,Non-Financial (Category B),3,1000.0,000009228,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kIEG/FE3uDt9bTZCY8jhfUSXGqbLjT.v9MtTq4b1WIdfJ0Q8,,0,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets, including shares, debentures, bonds, other forms of security.  Holding ownership of real property, intellectual property, other tangible and intangible assets",,None | None || None || None,"Name : John Paul  Butterworth, Appointment Date : 2023-01-23","Name : John Paul  Butterworth, Appointment Date : 2023-01-23",
108 HOLDING LIMITED,Private Company Limited By Shares,,Registered,2022-10-24,Licensed,2023-10-23,,,2023-12-31,Non-Financial (Category B),1,1000.0,000008388,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kJct/kmpyCe2IsbWkOQezcNk1mnvS8Lc4jTO9EQChF.._f0Y,100.0,100,"Type:Non-Financial (Category B), Code:7018 Section:M Professional, scientific and technical activities, Activities:Activities of holding companies | Type:Non-Financial (Category B), Code:7010 Section:M Professional, scientific and technical activities, Activities:Activities of head offices",,None || None,"Name : Nina  Kolomiitseva, Appointment Date : 2022-10-24","Name : Nina  Kolomiitseva, Appointment Date : 2022-10-24",
1833 LIMITED,Private Company Limited By Shares,Innovation,Registered,2023-12-19,Licensed,2025-12-18,,2024-12-20,2025-12-31,Non-Financial (Category B),15,1000.0,16078,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/NM000003i0CL/QQ56UxCJjh3oJbpH3l.uhdVRssg4bvksaZgJy.WhVio,1000000.0,1000000,"Type:Non-Financial (Category B), Code:6210 Section:J Information and communication, Activities:Innovation - tech start up",,"Cloud Suite 302, Desk D02, Level 15, Al Sarab Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || Cloud Suite 302, Desk D02, Level 15, Al Sarab Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || DD-15-134-004 - 007, Level 15, WeWork Hub71, Al Khatem Tower, Abu Dhabi Global Market Square 46617, Abu Dhabi, Al Maryah Island, United Arab Emirates","Name : Sultan Rashed Saeed Mohammed  Aldarmaki, Appointment Date : 2023-12-19 || Name : Benoit Marceau Jean-Louis  Jonniaux, Appointment Date : 2023-12-19","Name : Sultan Rashed Saeed Mohammed  Aldarmaki, Appointment Date : 2023-12-19 || Name : Benoit Marceau Jean-Louis  Jonniaux, Appointment Date : 2023-12-19",
1886 HOLDINGS LIMITED,Private Company Limited By Shares,Special Purpose Vehicle,Deregistered,2024-05-22,License cancelled,2025-05-21,CLARA FORMATIONS LIMITED,,2024-12-31,Non-Financial (Category B),2,1000.0,18901,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kKON/DWzQLGWdyExivYScEfjN0QiwhY4QNiMQpHPLcGA5A8I,1000000.0,1000000,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets, including shares, debentures, bonds, other forms of security.  Holding ownership of real property, intellectual property, other tangible and intangible assets",,"DD-15-134-004 - 007, Level 15, Wework Hub71, Al Khatem Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || DD-15-134-004 - 007, Level 15, Wework Hub71, Al Khatem Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : Fahad Abdulaziz M  Aljomiah, Appointment Date : 2024-05-22 | Name : Khalid Naser M  Aljammaz, Appointment Date : 2024-05-22 | Name : Meteb Awad A  Alzaidi, Appointment Date : 2024-05-22","Name : Fahad Abdulaziz M  Aljomiah, Appointment Date : 2024-05-22",
13CAL SPORTS HOLDING LTD,Private Company Limited By Shares,Special Purpose Vehicle,Registered,2023-05-02,Licensed,2025-05-01,,2024-05-29,2024-12-31,Non-Financial (Category B),25,1000.0,000009738,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kKNa/AfWsaHSSBRWPJTrY_SqgmzB6MN.2HYY6SyrrlpKnQ1U,10000000.0,10000000,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets, including shares, debentures, bonds, other forms of security.  Holding ownership of real property, intellectual property, other tangible and intangible assets",,"None || Suite 204, Level 15, Al Sarab Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || None || None","Name : Hischam  Telib, Appointment Date : 2024-09-30 || Name : Ellen Benedicte  Soehoel, Appointment Date : 2023-05-02 | Name : Robert Peter  Wilcocks, Appointment Date : 2023-05-02 || Name : None, Appointment Date : 2024-05-28","Name : Hischam  Telib, Appointment Date : 2024-09-19 || Name : Ellen Benedicte  Soehoel, Appointment Date : 2023-05-02 | Name : Robert Peter  Wilcocks, Appointment Date : 2023-05-02 | Name : Wayne Benjamin  Merrick, Appointment Date : 2024-05-28 | Name : Carl James  Dowling, Appointment Date : 2024-05-28",
12 DEEP BLUE SPV LTD,Private Company Limited By Shares,Special Purpose Vehicle,Registered,2023-06-02,Licensed,2025-06-01,PRAXISIFM TRUST LIMITED,2024-09-03,2024-12-31,Non-Financial (Category B),17,1000.0,000009325,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kLa4/zp_vY7FAEKdlIqLywTw5J7ZMX3TAbWepVaVSBwtgyPw,1000.0,1000,"Type:Non-Financial (Category B), Code:7017 Section:M Professional, scientific and technical activities, Activities:Special purpose vehicle | Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets, including shares, debentures, bonds, other forms of security.  Holding ownership of real property, intellectual property, other tangible and intangible assets",,"Suite #408, Floor 15, Al Sarab Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || Suite #408, Floor 15, Al Sarab Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || Suite#408 Desk DO1,, Floor 15, Al Sarab Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates | Suite#408 Desk D01,, Floor 15, Al Sarab Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates | None || Suite#408 Desk D01,, Floor 15, Al Sarab Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates | None | Suite#408 Desk DO1,, Floor 15, Al Sarab Tower, Adgm Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : Najib Taleb Ibrahim  Nasser, Appointment Date : 2023-06-02","Name : Najib Taleb Ibrahim  Nasser, Appointment Date : 2023-06-02",
1968B SPV RSC LIMITED,Restricted Scope Company,Special Purpose Vehicle,Registered,2023-11-13,Licensed,2025-11-12,WALKERS PROFESSIONAL SERVICES (MIDDLE EAST) LIMITED,2024-11-29,2024-12-31,Non-Financial (Category B),13,,15509,Register of Beneficial Ownership - 1968B SPV RSC LIMITED,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/J8000000kI0q/hsQW5wTF2zhsIxBpR11eNrGlFy6jm.g.9DkjBx3K0ls,10.0,10,"Type:Non-Financial (Category B), Code:7029 Section:M Professional, scientific and technical activities, Activities:Special Purpose Vehicle - holding ownership of equity and non-equity assets, including shares, debentures, bonds, other forms of security.  Holding ownership of real property, intellectual property, other tangible and intangible assets",,"2462ResCowork01, 24th Floor, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || 2462ResCowork01, 24th Floor, Al Sila Tower, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates","Name : None, Appointment Date : 2023-11-13","Name : Lars  Kramer, Appointment Date : 2023-12-14 || Name : Eric Imad  Shehadeh, Appointment Date : 2023-11-13",
1M TECHNOLOGIES INTERNATIONAL LTD,Private Company Limited By Shares,Innovation,Registered,2025-03-19,Licensed,2026-03-18,,,2025-12-31,Non-Financial (Category B),14,1000.0,25780,,https://adgm.my.salesforce.com/sfc/p/0Y000002IemY/a/NM000001BUGj/YpgVUpaUBoADF_J3x5WSmOeW5GCb1TWcrcRNAR7.ABU,10000000.0,10000000,"Type:Non-Financial (Category B), Code:6210 Section:J Information and communication, Activities:Innovation - tech start up",,"DD-16-109-016, 16, Al Khatem Tower,WeWork Hub71, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || DD-16-109-016, 16, Al Khatem Tower,WeWork Hub71, Abu Dhabi Global Market Square, Al Maryah Island, Abu Dhabi, United Arab Emirates || DD-15-134-004 - 007, Level 15, WeWork Hub71, Al Khatem Tower, Abu Dhabi Global Market Square, Abu Dhabi, Al Maryah Island, United Arab Emirates","Name : None, Appointment Date : 2025-03-19","Name : Matthew Reeves  Shroder, Appointment Date : 2025-03-19 | Name : Brian Walker  Shroder, Appointment Date : 2025-03-19 | Name : Abhishek  Baid, Appointment Date : 2025-03-19",
